Date,High,Low,Close,Adj Close,Volume,Open,Interest,Currency,Inflation,Month,Day
2007-11-14,6.341786,5.847857,5.9325,5.04926,1449168000,6.327143,4.15,0.4826663,4.3,11,14
2007-11-15,6.056786,5.725,5.867857,4.994242,1487410400,5.9425,4.15,0.4826663,4.3,11,15
2007-11-16,5.965,5.690357,5.9425,5.057772,1383494000,5.903571,4.15,0.4826663,4.3,11,16
2007-11-19,6.007143,5.789286,5.855357,4.983602,1154428800,5.932143,4.15,0.4826663,4.3,11,19
2007-11-20,6.135357,5.840357,6.030357,5.132547,1543642800,5.916786,4.15,0.4826663,4.3,11,20
2007-11-21,6.155357,5.881071,6.016429,5.120693,1217809600,5.922857,4.15,0.4826663,4.3,11,21
2007-11-23,6.144643,6.0625,6.126429,5.214317,465757600,6.142857,4.15,0.4826663,4.3,11,23
2007-11-26,6.331071,6.155357,6.162143,5.244713,1305754800,6.199643,4.15,0.4826663,4.3,11,26
2007-11-27,6.278214,6.071786,6.243214,5.313714,1317030400,6.257857,4.15,0.4826663,4.3,11,27
2007-11-28,6.45,6.2625,6.436429,5.478162,1150912000,6.315,4.15,0.4826663,4.3,11,28
2007-11-29,6.613214,6.398214,6.581786,5.601878,1050926800,6.408214,4.15,0.4826663,4.3,11,29
2007-11-30,6.703571,6.417857,6.507857,5.538955,1187802000,6.690714,4.15,0.4826663,4.3,11,30
2007-12-03,6.576429,6.346429,6.387857,5.436822,961469600,6.495,4.1,0.4960046,4.1,12,3
2007-12-04,6.460714,6.321071,6.421786,5.465697,773799600,6.326786,4.1,0.4960046,4.1,12,4
2007-12-05,6.642857,6.514643,6.625,5.638659,892402000,6.531786,4.1,0.4960046,4.1,12,5
2007-12-06,6.789286,6.647143,6.783929,5.773927,899810800,6.649643,4.1,0.4960046,4.1,12,6
2007-12-07,6.963929,6.715714,6.939286,5.906154,1066066400,6.805,4.1,0.4960046,4.1,12,7
2007-12-10,6.987857,6.881786,6.936071,5.903418,722377600,6.913929,4.1,0.4960046,4.1,12,10
2007-12-11,7.029643,6.6925,6.733571,5.731066,1110925200,6.955357,4.1,0.4960046,4.1,12,11
2007-12-12,6.945714,6.634286,6.816429,5.801588,1225660800,6.908571,4.1,0.4960046,4.1,12,12
2007-12-13,6.861429,6.707857,6.851071,5.831073,864617600,6.7925,4.1,0.4960046,4.1,12,13
2007-12-14,6.9,6.769286,6.799643,5.787302,674312800,6.798929,4.1,0.4960046,4.1,12,14
2007-12-17,6.880357,6.535,6.585714,5.605221,1024693600,6.811429,4.1,0.4960046,4.1,12,17
2007-12-18,6.690357,6.378571,6.535,5.562059,1222603200,6.661429,4.1,0.4960046,4.1,12,18
2007-12-19,6.594286,6.460714,6.54,5.566314,827478400,6.535,4.1,0.4960046,4.1,12,19
2007-12-20,6.708214,6.5475,6.686071,5.690636,774057200,6.6225,4.1,0.4960046,4.1,12,20
2007-12-21,6.925357,6.781786,6.925357,5.894297,993960800,6.79,4.1,0.4960046,4.1,12,21
2007-12-24,7.118929,6.956786,7.1,6.042941,480202800,6.965357,4.1,0.4960046,4.1,12,24
2007-12-26,7.177143,7.029286,7.105357,6.047499,703732400,7.1075,4.1,0.4960046,4.1,12,26
2007-12-27,7.248571,7.064286,7.091786,6.035948,795527600,7.105357,4.1,0.4960046,4.1,12,27
2007-12-28,7.198571,7.031429,7.136786,6.074249,699647200,7.163929,4.1,0.4960046,4.1,12,28
2007-12-31,7.160714,7.0625,7.074286,6.021055,539333200,7.125,4.1,0.4960046,4.1,12,31
2008-01-02,7.152143,6.876786,6.958571,5.922567,1079178800,7.116786,3.74,0.507551,4.3,1,2
2008-01-03,7.049643,6.881786,6.961786,5.925303,842066400,6.978929,3.74,0.507551,4.3,1,3
2008-01-04,6.892857,6.388929,6.430357,5.472993,1455832000,6.8375,3.74,0.507551,4.3,1,4
2008-01-07,6.557143,6.079643,6.344286,5.399738,2072193200,6.473214,3.74,0.507551,4.3,1,7
2008-01-08,6.516429,6.1,6.116071,5.205501,1523816000,6.433571,3.74,0.507551,4.3,1,8
2008-01-09,6.410714,6.010714,6.407143,5.453237,1813882000,6.117857,3.74,0.507551,4.3,1,9
2008-01-10,6.464286,6.264643,6.357857,5.411289,1482975200,6.342143,3.74,0.507551,4.3,1,10
